planner,pair,samples,seed,success,time_s,len_m,ratio_vs_astar,min_clear_m,frac_unknown,n_occ_hits,error
custom_inflated,2,2000,5,1,0.0281,8.59,0.959,0.22,0.0,0,
custom_strict,2,4000,1,1,0.0545,8.411,0.961,0.05,0.0,0,
custom_inflated,2,4000,1,1,0.0436,8.599,0.96,0.21,0.0,0,
custom_strict,2,4000,2,1,0.0554,8.391,0.958,0.05,0.0,0,
custom_inflated,2,4000,2,1,0.0432,8.554,0.955,0.21,0.0,0,
custom_strict,2,4000,3,1,0.0585,8.406,0.96,0.07,0.0,0,
custom_inflated,2,4000,3,1,0.0655,8.555,0.955,0.22,0.0,0,
custom_strict,2,4000,4,1,0.0762,8.365,0.955,0.05,0.0,0,
custom_inflated,2,4000,4,1,0.0479,8.578,0.957,0.22,0.0,0,
custom_strict,2,4000,5,1,0.0569,8.412,0.961,0.05,0.0,0,
custom_inflated,2,4000,5,1,0.0442,8.547,0.954,0.21,0.0,0,
repo_ompl,2,500,1,1,0.0358,8.251,0.942,0.0,0.176,15,
repo_ompl,2,500,2,1,0.0189,7.953,0.908,0.0,0.12,14,
repo_ompl,2,500,3,1,0.0338,7.934,0.906,0.0,0.108,13,
repo_ompl,2,2000,1,1,0.0473,8.281,0.946,0.0,0.159,17,
repo_ompl,2,2000,2,1,0.0627,8.152,0.931,0.0,0.102,15,
repo_ompl,2,2000,3,1,0.0448,7.986,0.912,0.0,0.104,12,
repo_ompl,2,4000,1,1,0.0806,8.296,0.947,0.0,0.18,9,
repo_ompl,2,4000,2,1,0.0845,8.139,0.929,0.0,0.093,18,
repo_ompl,2,4000,3,1,0.103,7.977,0.911,0.0,0.109,13,
custom_strict,3,250,1,1,0.0112,7.903,0.984,0.05,0.0,0,
custom_inflated,3,250,1,1,0.0096,7.91,0.967,0.21,0.0,0,
custom_strict,3,250,2,1,0.0119,7.993,0.995,0.18,0.0,0,
custom_inflated,3,250,2,1,0.0101,7.958,0.973,0.22,0.0,0,
custom_strict,3,250,3,1,0.0114,7.86,0.978,0.05,0.0,0,
custom_inflated,3,250,3,1,0.0097,7.938,0.97,0.25,0.0,0,
custom_strict,3,250,4,1,0.0117,7.97,0.992,0.05,0.0,0,
custom_inflated,3,250,4,1,0.0101,7.921,0.968,0.25,0.0,0,
custom_strict,3,250,5,1,0.0125,7.861,0.979,0.15,0.0,0,
custom_inflated,3,250,5,1,0.0124,8.054,0.985,0.29,0.0,0,
custom_strict,3,500,1,1,0.0185,7.751,0.965,0.05,0.0,0,
custom_inflated,3,500,1,1,0.0144,7.878,0.963,0.22,0.0,0,
custom_strict,3,500,2,1,0.0162,7.772,0.967,0.07,0.0,0,
custom_inflated,3,500,2,1,0.0137,7.981,0.976,0.26,0.0,0,
custom_strict,3,500,3,1,0.0171,7.869,0.98,0.07,0.0,0,
custom_inflated,3,500,3,1,0.0148,7.865,0.962,0.22,0.0,0,
custom_strict,3,500,4,1,0.0154,7.986,0.994,0.1,0.0,0,
custom_inflated,3,500,4,1,0.0149,8.047,0.984,0.25,0.0,0,
custom_strict,3,500,5,1,0.0177,7.762,0.966,0.05,0.0,0,
custom_inflated,3,500,5,1,0.0165,8.284,1.013,0.3,0.0,0,
custom_strict,3,1000,1,1,0.024,7.922,0.986,0.05,0.0,0,
custom_inflated,3,1000,1,1,0.0188,7.885,0.964,0.22,0.0,0,
custom_strict,3,1000,2,1,0.0218,7.903,0.984,0.21,0.0,0,
custom_inflated,3,1000,2,1,0.018,7.91,0.967,0.26,0.0,0,
custom_strict,3,1000,3,1,0.0235,7.816,0.973,0.05,0.0,0,
custom_inflated,3,1000,3,1,0.019,7.894,0.965,0.22,0.0,0,
custom_strict,3,1000,4,1,0.023,7.952,0.99,0.25,0.0,0,
